d,practice_id,paid,claims,denial_rate,month,year,is_weekend,is_holiday,flu_season_flag,end_of_month_flag
2022-01-01,PRA1,5635.67,32,0.0,1,2022,1,1,1,0
2022-01-01,PRA2,3037.31,26,0.0,1,2022,1,1,1,0
2022-01-01,PRA3,2659.11,16,0.0,1,2022,1,1,1,0
2022-01-02,PRA1,5476.95,34,0.08823529411764706,1,2022,1,0,1,0
2022-01-02,PRA2,2020.65,14,0.0,1,2022,1,0,1,0
2022-01-02,PRA3,1761.71,16,0.25,1,2022,1,0,1,0
2022-01-03,PRA1,5549.68,36,0.05555555555555555,1,2022,0,0,1,0
2022-01-03,PRA2,1860.73,19,0.10526315789473684,1,2022,0,0,1,0
2022-01-03,PRA3,2611.33,16,0.125,1,2022,0,0,1,0
2022-01-04,PRA1,3446.95,32,0.09375,1,2022,0,0,1,0
2022-01-04,PRA2,2955.67,27,0.07407407407407407,1,2022,0,0,1,0
2022-01-04,PRA3,2445.29,13,0.07692307692307693,1,2022,0,0,1,0
2022-01-05,PRA1,2920.19,27,0.07407407407407407,1,2022,0,0,1,0
2022-01-05,PRA2,1884.48,12,0.0,1,2022,0,0,1,0
2022-01-05,PRA3,2220.89,21,0.14285714285714285,1,2022,0,0,1,0
2022-01-06,PRA1,2163.22,24,0.08333333333333333,1,2022,0,0,1,0
2022-01-06,PRA2,2234.75,21,0.19047619047619047,1,2022,0,0,1,0
2022-01-06,PRA3,2619.81,19,0.05263157894736842,1,2022,0,0,1,0
2022-01-07,PRA1,4778.33,37,0.08108108108108109,1,2022,0,0,1,0
2022-01-07,PRA2,2828.32,30,0.23333333333333334,1,2022,0,0,1,0
2022-01-07,PRA3,2859.16,16,0.0,1,2022,0,0,1,0
2022-01-08,PRA1,2505.19,23,0.13043478260869565,1,2022,1,0,1,0
2022-01-08,PRA2,848.1,13,0.07692307692307693,1,2022,1,0,1,0
2022-01-08,PRA3,649.58,7,0.0,1,2022,1,0,1,0
2022-01-09,PRA1,3414.71,37,0.10810810810810811,1,2022,1,0,1,0
2022-01-09,PRA2,2234.08,16,0.125,1,2022,1,0,1,0
2022-01-09,PRA3,1575.19,15,0.13333333333333333,1,2022,1,0,1,0
2022-01-10,PRA1,4383.0,27,0.1111111111111111,1,2022,0,0,1,0
2022-01-10,PRA2,3086.16,23,0.043478260869565216,1,2022,0,0,1,0
2022-01-10,PRA3,2330.02,15,0.06666666666666667,1,2022,0,0,1,0
2022-01-11,PRA1,4264.64,36,0.027777777777777776,1,2022,0,0,1,0
2022-01-11,PRA2,2225.11,21,0.047619047619047616,1,2022,0,0,1,0
2022-01-11,PRA3,3047.63,20,0.1,1,2022,0,0,1,0
2022-01-12,PRA1,5114.04,31,0.0967741935483871,1,2022,0,0,1,0
2022-01-12,PRA2,2355.07,24,0.20833333333333334,1,2022,0,0,1,0
2022-01-12,PRA3,2091.67,15,0.06666666666666667,1,2022,0,0,1,0
2022-01-13,PRA1,3042.84,23,0.0,1,2022,0,0,1,0
2022-01-13,PRA2,2583.93,27,0.07407407407407407,1,2022,0,0,1,0
2022-01-13,PRA3,1136.27,14,0.0,1,2022,0,0,1,0
2022-01-14,PRA1,3508.45,30,0.13333333333333333,1,2022,0,0,1,0
2022-01-14,PRA2,1878.99,16,0.0625,1,2022,0,0,1,0
2022-01-14,PRA3,1297.3,10,0.1,1,2022,0,0,1,0
2022-01-15,PRA1,3811.13,28,0.03571428571428571,1,2022,1,0,1,0
2022-01-15,PRA2,3365.4,25,0.04,1,2022,1,0,1,0
2022-01-15,PRA3,1689.74,14,0.0,1,2022,1,0,1,0
2022-01-16,PRA1,4043.77,32,0.1875,1,2022,1,0,1,0
2022-01-16,PRA2,3657.9900000000002,21,0.047619047619047616,1,2022,1,0,1,0
2022-01-16,PRA3,1339.23,14,0.14285714285714285,1,2022,1,0,1,0
2022-01-17,PRA1,4071.5899999999997,30,0.03333333333333333,1,2022,0,1,1,0
2022-01-17,PRA2,3251.72,23,0.043478260869565216,1,2022,0,1,1,0
2022-01-17,PRA3,3270.03,19,0.0,1,2022,0,1,1,0
2022-01-18,PRA1,5114.77,36,0.05555555555555555,1,2022,0,0,1,0
2022-01-18,PRA2,3078.55,30,0.06666666666666667,1,2022,0,0,1,0
2022-01-18,PRA3,2869.7599999999998,19,0.0,1,2022,0,0,1,0
2022-01-19,PRA1,5289.78,37,0.08108108108108109,1,2022,0,0,1,0
2022-01-19,PRA2,2381.34,21,0.047619047619047616,1,2022,0,0,1,0
2022-01-19,PRA3,1917.24,22,0.045454545454545456,1,2022,0,0,1,0
2022-01-20,PRA1,5233.69,33,0.06060606060606061,1,2022,0,0,1,0
2022-01-20,PRA2,3356.67,25,0.2,1,2022,0,0,1,0
2022-01-20,PRA3,1198.4,17,0.17647058823529413,1,2022,0,0,1,0
2022-01-21,PRA1,3031.04,18,0.0,1,2022,0,0,1,0
2022-01-21,PRA2,1644.52,21,0.047619047619047616,1,2022,0,0,1,0
2022-01-21,PRA3,1660.14,11,0.09090909090909091,1,2022,0,0,1,0
2022-01-22,PRA1,3783.64,30,0.0,1,2022,1,0,1,0
2022-01-22,PRA2,2526.93,21,0.047619047619047616,1,2022,1,0,1,0
2022-01-22,PRA3,927.88,13,0.07692307692307693,1,2022,1,0,1,0
2022-01-23,PRA1,2939.15,23,0.0,1,2022,1,0,1,0
2022-01-23,PRA2,2254.39,29,0.13793103448275862,1,2022,1,0,1,0
2022-01-23,PRA3,2668.43,13,0.15384615384615385,1,2022,1,0,1,0
2022-01-24,PRA1,4779.48,31,0.0967741935483871,1,2022,0,0,1,0
2022-01-24,PRA2,2256.26,17,0.11764705882352941,1,2022,0,0,1,0
2022-01-24,PRA3,668.67,11,0.09090909090909091,1,2022,0,0,1,0
2022-01-25,PRA1,2744.69,28,0.07142857142857142,1,2022,0,0,1,0
2022-01-25,PRA2,2196.08,21,0.09523809523809523,1,2022,0,0,1,0
2022-01-25,PRA3,1471.35,13,0.07692307692307693,1,2022,0,0,1,0
2022-01-26,PRA1,3636.58,34,0.029411764705882353,1,2022,0,0,1,0
2022-01-26,PRA2,4535.09,33,0.06060606060606061,1,2022,0,0,1,0
2022-01-26,PRA3,1280.22,12,0.25,1,2022,0,0,1,0
2022-01-27,PRA1,3223.81,25,0.0,1,2022,0,0,1,0
2022-01-27,PRA2,1320.26,21,0.047619047619047616,1,2022,0,0,1,0
2022-01-27,PRA3,1373.1100000000001,14,0.14285714285714285,1,2022,0,0,1,0
2022-01-28,PRA1,2737.28,22,0.13636363636363635,1,2022,0,0,1,0
2022-01-28,PRA2,3862.23,26,0.07692307692307693,1,2022,0,0,1,0
2022-01-28,PRA3,3519.38,17,0.0,1,2022,0,0,1,0
2022-01-29,PRA1,5640.6,27,0.0,1,2022,1,0,1,0
2022-01-29,PRA2,2051.59,22,0.22727272727272727,1,2022,1,0,1,0
2022-01-29,PRA3,1228.32,12,0.0,1,2022,1,0,1,0
2022-01-30,PRA1,4652.87,30,0.0,1,2022,1,0,1,0
2022-01-30,PRA2,1789.61,19,0.10526315789473684,1,2022,1,0,1,0
2022-01-30,PRA3,1193.8500000000001,7,0.0,1,2022,1,0,1,0
2022-01-31,PRA1,2527.56,27,0.037037037037037035,1,2022,0,0,1,1
2022-01-31,PRA2,3024.88,19,0.10526315789473684,1,2022,0,0,1,1
2022-01-31,PRA3,1875.58,17,0.11764705882352941,1,2022,0,0,1,1
2022-02-01,PRA1,3843.77,29,0.06896551724137931,2,2022,0,0,1,0
2022-02-01,PRA2,2263.13,21,0.19047619047619047,2,2022,0,0,1,0
2022-02-01,PRA3,1595.83,12,0.0,2,2022,0,0,1,0
2022-02-02,PRA1,3312.84,28,0.07142857142857142,2,2022,0,0,1,0
2022-02-02,PRA2,4056.68,22,0.0,2,2022,0,0,1,0
2022-02-02,PRA3,2997.55,22,0.09090909090909091,2,2022,0,0,1,0
2022-02-03,PRA1,3534.57,25,0.12,2,2022,0,0,1,0
2022-02-03,PRA2,1688.7,18,0.1111111111111111,2,2022,0,0,1,0
2022-02-03,PRA3,2512.32,14,0.0,2,2022,0,0,1,0
2022-02-04,PRA1,3061.58,30,0.06666666666666667,2,2022,0,0,1,0
2022-02-04,PRA2,4572.16,27,0.1111111111111111,2,2022,0,0,1,0
2022-02-04,PRA3,2046.46,15,0.0,2,2022,0,0,1,0
2022-02-05,PRA1,3099.53,23,0.08695652173913043,2,2022,1,0,1,0
2022-02-05,PRA2,3007.22,32,0.0,2,2022,1,0,1,0
2022-02-05,PRA3,964.38,10,0.1,2,2022,1,0,1,0
2022-02-06,PRA1,3677.08,30,0.1,2,2022,1,0,1,0
2022-02-06,PRA2,3294.46,22,0.13636363636363635,2,2022,1,0,1,0
2022-02-06,PRA3,3447.07,23,0.0,2,2022,1,0,1,0
2022-02-07,PRA1,4461.78,32,0.125,2,2022,0,0,1,0
2022-02-07,PRA2,2868.18,21,0.0,2,2022,0,0,1,0
2022-02-07,PRA3,2955.01,17,0.0,2,2022,0,0,1,0
2022-02-08,PRA1,5097.12,40,0.0,2,2022,0,0,1,0
2022-02-08,PRA2,2565.13,20,0.1,2,2022,0,0,1,0
2022-02-08,PRA3,1789.46,12,0.16666666666666666,2,2022,0,0,1,0
2022-02-09,PRA1,6301.07,43,0.11627906976744186,2,2022,0,0,1,0
2022-02-09,PRA2,3412.98,23,0.043478260869565216,2,2022,0,0,1,0
2022-02-09,PRA3,2944.56,20,0.05,2,2022,0,0,1,0
2022-02-10,PRA1,4247.14,31,0.03225806451612903,2,2022,0,0,1,0
2022-02-10,PRA2,2135.76,25,0.12,2,2022,0,0,1,0
2022-02-10,PRA3,1921.42,18,0.05555555555555555,2,2022,0,0,1,0
2022-02-11,PRA1,3893.95,37,0.08108108108108109,2,2022,0,0,1,0
2022-02-11,PRA2,2536.64,23,0.13043478260869565,2,2022,0,0,1,0
2022-02-11,PRA3,325.87,6,0.16666666666666666,2,2022,0,0,1,0
2022-02-12,PRA1,3399.78,36,0.027777777777777776,2,2022,1,0,1,0
2022-02-12,PRA2,2330.11,17,0.058823529411764705,2,2022,1,0,1,0
2022-02-12,PRA3,1511.09,12,0.0,2,2022,1,0,1,0
2022-02-13,PRA1,4719.56,35,0.02857142857142857,2,2022,1,0,1,0
2022-02-13,PRA2,2595.1,26,0.038461538461538464,2,2022,1,0,1,0
2022-02-13,PRA3,2166.0,16,0.0625,2,2022,1,0,1,0
2022-02-14,PRA1,4672.7699999999995,33,0.09090909090909091,2,2022,0,0,1,0
2022-02-14,PRA2,3275.7999999999997,18,0.0,2,2022,0,0,1,0
2022-02-14,PRA3,1416.16,18,0.05555555555555555,2,2022,0,0,1,0
